class,missing_values_count,missing_percentage
后排座垫电动翻折,4908,99.9185667752443
副驾4D云端零重力座椅,4908,99.9185667752443
PML可编程智能大灯,4908,99.9185667752443
超级运动座椅套装,4908,99.9185667752443
行车安全辅助套装,4908,99.9185667752443
静谧质感套装,4908,99.9185667752443
智能增配包,4908,99.9185667752443
选装包三,4908,99.9185667752443
NOMI车载人工智能系统,4908,99.9185667752443
CDC可变阻尼悬挂,4908,99.9185667752443
运动升级包,4908,99.9185667752443
视觉氛围灯升级装备包,4908,99.9185667752443
舒适增强组件,4908,99.9185667752443
六活塞卡钳制动套装,4908,99.9185667752443
黑驰包,4908,99.9185667752443
NAD蔚来自动驾驶完整服务订阅,4908,99.9185667752443
高阶舒适座椅套装,4908,99.9185667752443
杜比影音包,4908,99.9185667752443
飞凡巴赫座舱 舒适升级包,4908,99.9185667752443
Hi-light动态迎宾灯,4907,99.89820846905538
电动踏板,4907,99.89820846905538
智能包,4907,99.89820846905538
后排舒享套装,4907,99.89820846905538
18寸轮毂+米其林轮胎,4907,99.89820846905538
N-Box增强娱乐主机,4907,99.89820846905538
可调光全景天幕,4907,99.89820846905538
155°靠背倾斜后排独立座椅（4座）,4907,99.89820846905538
4D成像雷达,4907,99.89820846905538
前排豪华舒适座椅及24扬声器,4907,99.89820846905538
飞鱼底盘,4907,99.89820846905538
主副驾十点按摩座椅,4907,99.89820846905538
VTOL电源输出插排（220V）,4907,99.89820846905538
NT感应展翼门,4907,99.89820846905538
前排无框车门,4907,99.89820846905538
Xiaomi Pilot Pro,4907,99.89820846905538
千里浩瀚安全辅助驾驶H5方案,4907,99.89820846905538
无线电动前绞盘,4907,99.89820846905538
智能互联驾驶座舱套装,4907,99.89820846905538
18寸车轮包,4907,99.89820846905538
主驾魔毯座椅,4907,99.89820846905538
超视距召唤泊车,4907,99.89820846905538
ETC,4907,99.89820846905538
Summon召唤,4907,99.89820846905538
酷黑运动套件,4907,99.89820846905538
运动性能套件,4907,99.89820846905538
加热包,4907,99.89820846905538
商务套件1,4907,99.89820846905538
安心驾控包,4907,99.89820846905538
智能高清投影大灯HDPL,4907,99.89820846905538
座椅按摩包,4907,99.89820846905538
商务套件2,4907,99.89820846905538
透明底盘,4907,99.89820846905538
安全守卫模式,4907,99.89820846905538
智能调光隐私车窗,4907,99.89820846905538
碳纤维外饰套装,4906,99.87785016286645
Brembo赛道红卡钳,4906,99.87785016286645
碳纤维后视镜,4906,99.87785016286645
碳纤维仪表台饰板,4906,99.87785016286645
碳纤维迎宾踏板,4906,99.87785016286645
舒享七座包,4906,99.87785016286645
车身黑色标识,4906,99.87785016286645
奥迪Pro领航套装增强版,4906,99.87785016286645
炽夜暗影扩展套件,4906,99.87785016286645
完全自动驾驶能力,4906,99.87785016286645
智驾包,4906,99.87785016286645
动感套装,4906,99.87785016286645
寰宇一体卫星通信,4906,99.87785016286645
增强版自动辅助驾驶功能,4906,99.87785016286645
多功能电子遮阳板,4906,99.87785016286645
潮玩套装B,4906,99.87785016286645
露营包,4906,99.87785016286645
自动泊车科技包,4906,99.87785016286645
Touch Bar触控方向盘,4906,99.87785016286645
遥控泊车套装,4906,99.87785016286645
20英寸轮毂(前轮搭配Akebono四活塞卡钳),4906,99.87785016286645
19英寸轮毂,4906,99.87785016286645
14.6英寸电动滑移智慧屏,4906,99.87785016286645
多维智能迎宾,4906,99.87785016286645
智享交互科技套装,4906,99.87785016286645
高配金色外观套装,4906,99.87785016286645
奶盖包,4906,99.87785016286645
全场景智慧车外语音,4906,99.87785016286645
远红外夜视系统,4906,99.87785016286645
20英寸轮毂轮胎组,4906,99.87785016286645
原厂拖挂,4906,99.87785016286645
后舱娱乐屏套装,4906,99.87785016286645
铂金音响,4906,99.87785016286645
宁德时代5C骁遥超级增·混电池45.06kWh,4906,99.87785016286645
环境感知显示,4906,99.87785016286645
拖挂模式,4906,99.87785016286645
高阶智驾,4906,99.87785016286645
多维立体驾驶辅助灯包(5个，前挡风玻璃1+后视镜2+后尾灯2),4906,99.87785016286645
高阶泊车出行智能套件,4906,99.87785016286645
舒享加热包,4906,99.87785016286645
运动套装,4906,99.87785016286645
应急胎,4906,99.87785016286645
智能泊车套装,4906,99.87785016286645
二排零重力座椅套装,4906,99.87785016286645
航空座椅套装,4906,99.87785016286645
智能激光投影系统,4906,99.87785016286645
座椅舒适包,4905,99.85749185667753
数智先锋升级包,4905,99.85749185667753
奢适驾享升级包,4905,99.85749185667753
豪华套装,4905,99.85749185667753
智享套装4,4905,99.85749185667753
二排座椅一键大躺,4905,99.85749185667753
智能感应式无框电动门,4905,99.85749185667753
悬浮式轮心盖,4905,99.85749185667753
曜夜套装,4905,99.85749185667753
副驾音乐头枕,4905,99.85749185667753
二排睡眠头枕,4905,99.85749185667753
二排座椅145°超级大躺（带一键复位）,4905,99.85749185667753
车内摄影头像素,4905,99.85749185667753
千里浩瀚安全辅助驾驶H7方案,4905,99.85749185667753
智行包,4905,99.85749185667753
22英寸锋锐撞色运动轮辋,4905,99.85749185667753
光影墨镜遮阳板,4905,99.85749185667753
动态星空穹顶,4905,99.85749185667753
旗舰升舱包,4905,99.85749185667753
外观套件,4905,99.85749185667753
舒享套装,4905,99.85749185667753
前雨刮解冻功能,4905,99.85749185667753
20英寸豪华锻造轮毂,4905,99.85749185667753
六座臻享组合套装,4905,99.85749185667753
20英寸豪华锻造轮毂带四活塞橙色卡钳,4905,99.85749185667753
碳纤维破风套件,4905,99.85749185667753
适享套装,4905,99.85749185667753
浩瀚智驾,4904,99.8371335504886
智能辅助驾驶小蓝灯,4904,99.8371335504886
NAD完整功能服务订阅,4904,99.8371335504886
打孔Haptex合成皮内饰,4904,99.8371335504886
行政奢享后排,4904,99.8371335504886
