series_id,series_name,image,min_price,max_price,count,price,dealer_price
9246,豹8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/061354d7f68f4fca9d7185b9ad90e5ff~tplv-resize:640:0.png?psm=motor.rank.data,37.98,42.38,24399,37.98-42.38万,37.98-42.38万
6126,丰田bZ3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/65fda664c3bd49b3bfeade022da97878~tplv-resize:640:0.png?psm=motor.rank.data,9.38,16.48,23718,9.38-16.48万,9.38-16.48万
9660,智己L6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8c0f45ab237c427e8f381094eeafb02b~tplv-resize:640:0.png?psm=motor.rank.data,20.49,26.59,22091,20.49-26.59万,20.49-26.59万
5878,ZEEKR 009,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ff38fe497faf47a5bfeec1a95272f0ed~tplv-resize:640:0.png?psm=motor.rank.data,43.9,89.9,21712,43.90-89.90万,43.90-89.90万
5461,小鹏G9,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e3f8d2c4e8894b799123560a0175fafd~tplv-resize:640:0.png?psm=motor.rank.data,24.88,27.88,20562,24.88-27.88万,24.88-27.88万
25488,领克10 EM-P,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c67bb456d8f8427d8f2525a82b3bd63e~tplv-resize:640:0.png?psm=motor.rank.data,16.58,20.18,20215,16.58-20.18万,16.58-20.18万
3352,小鹏P7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7d0261ff50644213b56f6982fdacab0c~tplv-resize:640:0.png?psm=motor.rank.data,21.98,30.18,19088,21.98-30.18万,21.98-30.18万
8979,宋L EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3ea9b04b17494c5d9845b6ddd5632d38~tplv-resize:640:0.png?psm=motor.rank.data,17.38,23.98,17616,17.38-23.98万,17.38-23.98万
25557,理想i6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,24.98,26.98,12977,24.98-26.98万,24.98-26.98万
25436,捷途山海L7 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/826721d8597840aebaee8dd053b8c655~tplv-resize:640:0.png?psm=motor.rank.data,10.99,15.59,12946,10.99-15.59万,10.99-15.59万
